split,category,rows,negative_rows,avg_chars,min_chars,p25_chars,median_chars,p75_chars,max_chars,avg_spans
long,Dcard 長文求助 + 多則回覆討論個人狀況,13,0,4485.69,3927,4017.0,4232.0,5073.0,5576,16.46
long,住宅租賃契約草稿（承租人、保證人、房東、房屋稅籍）,17,0,4342.06,2986,3903.0,4269.0,4699.0,6031,15.82
long,公司內部會議紀錄（含多名與會者個資、聯絡資料、決議分派）,12,0,4000.08,3044,3608.0,3728.5,4245.5,5346,15.33
long,公司員工到職資料表（個人、緊急聯絡人、銀行帳號、學歷）,18,0,4309.28,2964,3829.25,4422.5,4891.75,5546,14.5
long,公司年會報名與差旅安排 email 串,21,0,4812.86,3476,4442.0,4648.0,5122.0,6608,17.62
long,勞工保險 / 健保申請完整表單（含被保險人、配偶、受益人）,16,0,3896.56,2897,3477.0,3751.5,4206.0,5045,17.69
long,報稅資料完整填寫範例（個人、配偶、扶養親屬、扣除額憑證）,13,0,4121.38,3121,3463.0,4310.0,4667.0,4959,13.62
long,婚禮宴客名單與分桌表,10,0,4600.2,2936,4174.0,4651.0,4990.0,6664,14.6
long,完整健康檢查報告（受檢人、主治醫師、護理人員、聯絡人、追蹤）,8,0,4678.75,3538,4250.75,4503.5,5149.0,5834,20.88
long,客戶服務 email 串（3-5 封來回，含多次轉接客服與顧客）,17,0,4540.53,3628,4280.0,4610.0,4878.0,5458,15.59
long,客服中心電話逐字稿（多次轉接、不同客服人員姓名、客戶來電）,16,0,4469.94,3231,4126.0,4477.5,4967.0,5662,16.62
long,幼兒園或學校家長通訊錄草稿,17,0,4176.18,3474,3963.0,4197.0,4322.0,5141,18.06
long,投訴信完整內容（申訴人、被申訴對象、見證人、處理人員）,13,0,4649.38,3832,4019.0,4797.0,5045.0,5240,20.15
long,新聞報導草稿（多名相關當事人個資、地點、聯絡方式、引述）,15,0,4187.27,3219,3758.0,4090.0,4630.5,5195,15.67
long,社區管委會會議公告（含多戶住戶聯絡方式、處理事項）,10,0,4180.5,2735,3703.5,4109.5,4831.25,5290,13.9
long,移民署外國人居留 / 改證申請文件（含外籍人士姓名、護照、居留地）,22,0,4126.41,2989,3869.5,4103.0,4360.75,5184,21.5
long,車禍 / 報案筆錄（報案人、嫌疑人、目擊證人、車輛、地點）,17,0,4050.71,2753,3616.0,3900.0,4371.0,6523,15.76
long,醫療糾紛調解委員會調解紀錄,15,0,4406.67,2709,4076.0,4484.0,4907.0,5623,22.87
long,醫院病歷摘要（主治醫師、轉診紀錄、家屬聯絡人、用藥史）,16,0,5197.06,3436,4765.5,5163.5,5799.75,6667,13.94
long,離職員工資產交接單（含主管、IT 人員、HR、新接手人員）,14,0,4710.14,3333,4168.0,4623.0,4710.75,6548,26.14
mid,Dcard 求職 / 交易留言,13,0,670.62,486,613.0,688.0,752.0,864,7.15
mid,Facebook 私訊買賣對話,10,0,639.5,491,571.25,598.0,692.25,945,7.3
mid,LINE 對話片段（多輪訊息）,15,0,587.87,437,513.0,569.0,673.5,771,7.53
mid,保險理賠申請說明,18,0,624.39,461,573.5,600.0,678.0,796,7.5
mid,公司 B2B 報價單 email,16,0,628.31,486,550.0,623.5,706.0,788,7.88
mid,公司新進員工自我介紹 email,16,0,581.69,459,517.75,576.5,625.25,731,8.0
mid,外送平台客訴留言,22,0,633.41,490,586.0,637.5,688.75,765,7.18
mid,客戶服務 email 回覆,14,0,590.07,462,508.0,586.0,670.0,761,7.21
mid,戶政事務所申請文件,7,0,709.43,554,615.0,728.0,738.5,977,6.57
mid,房屋稅 / 牌照稅催繳通知,18,0,645.17,417,596.0,644.0,725.25,842,7.22
mid,求職應徵 email,11,0,581.45,363,495.0,563.0,692.0,778,7.73
mid,活動報名表填寫資料,16,0,608.31,360,518.5,613.0,655.25,916,7.5
mid,海關出入境申報表,20,0,663.95,518,606.5,660.0,719.0,847,7.15
mid,租屋仲介帶看 LINE 對話,13,0,623.85,556,568.0,614.0,626.0,922,7.92
mid,車輛違規通知書,15,0,645.0,457,591.5,632.0,702.5,832,7.4
mid,醫師處方箋與用藥說明,22,0,615.82,476,578.5,600.0,659.25,751,7.36
mid,醫療掛號或預約表單,16,0,597.31,424,554.5,593.5,639.25,781,7.38
mid,醫院出院摘要 / 衛教單,14,0,634.86,500,575.0,621.0,684.0,785,7.43
mid,銀行客服電話逐字稿,12,0,678.92,617,641.75,650.0,718.0,811,6.58
mid,電信門號續約申請,12,0,659.17,379,586.75,688.0,748.0,853,7.83
short,account_number,20,0,59.8,47,56.25,60.5,64.0,69,1.9
short,neg_business_name,8,8,43.88,39,41.5,43.5,45.75,50,0.0
short,neg_institutional_email,8,8,68.62,65,65.75,67.0,69.5,77,0.0
short,neg_landmark_address,8,8,42.38,37,40.25,42.5,46.0,46,0.0
short,neg_public_figure,8,8,45.12,33,44.75,46.0,48.25,50,0.0
short,neg_public_hotline,8,8,52.0,48,50.25,51.5,53.25,59,0.0
short,private_address,20,0,61.6,43,52.5,58.0,63.75,116,1.7
short,private_date,20,0,61.8,50,55.75,61.0,66.25,84,2.45
short,private_email,20,0,70.55,56,66.75,70.5,74.0,86,1.55
short,private_person,20,0,47.65,37,44.5,47.0,52.25,58,1.8
short,private_phone,20,0,55.85,44,49.75,55.0,58.5,74,1.85
short,private_url,20,0,86.05,69,77.75,84.0,92.25,118,1.5
short,secret,20,0,62.05,45,52.25,55.0,62.75,114,1.3
short,tw_company_id,10,0,56.5,43,53.25,55.0,57.5,77,1.6
short,tw_driver_license,10,0,57.9,52,55.5,58.5,60.75,63,1.8
short,tw_household_no,10,0,56.6,45,52.5,56.0,62.25,67,1.6
short,tw_license_plate,10,0,64.7,56,58.75,63.0,66.0,82,1.8
short,tw_line_id,10,0,67.7,60,61.0,69.5,70.0,81,1.8
short,tw_medical_license,10,0,49.7,43,46.5,50.0,52.0,58,1.6
short,tw_military_id,10,0,65.9,56,60.75,66.0,71.5,74,2.0
short,tw_national_id,10,0,59.1,52,55.25,58.5,63.0,69,2.1
short,tw_nhi_card,10,0,58.2,51,55.25,57.0,62.0,66,1.5
short,tw_passport,10,0,62.7,49,55.0,64.0,69.5,78,1.9
short,tw_ptt_id,10,0,65.5,58,59.25,63.0,68.25,82,1.7
