id,schema_name,score,gold_masked_text,predicted_masked_text,normalized_gold,normalized_predicted
a_account_number_001,account_number,0,房東太太您好，我剛剛已經把這個月的房租轉過去了，麻煩您查收一下，我的郵局帳號末五碼是[account_number]，完整的帳號是[account_number]。,房東太太您好，我剛剛已經把這個月的房租轉過去了，麻煩您查收一下，我的郵局帳號末五碼是[secret]，完整的帳號是[account_number]。,房東太太您好，我剛剛已經把這個月的房租轉過去了，麻煩您查收一下，我的郵局帳號末五碼是[account_number]，完整的帳號是[account_number]。,房東太太您好，我剛剛已經把這個月的房租轉過去了，麻煩您查收一下，我的郵局帳號末五碼是[secret]，完整的帳號是[account_number]。
a_account_number_002,account_number,1,客服您好，我在網站上刷卡一直失敗，我的卡號是[account_number]，到期日是[private_date]，能不能幫我查一下是什麼問題？,客服您好，我在網站上刷卡一直失敗，我的卡號是[account_number]，到期日是[private_date]，能不能幫我查一下是什麼問題？,客服您好，我在網站上刷卡一直失敗，我的卡號是[account_number]，到期日是[private_date]，能不能幫我查一下是什麼問題？,客服您好，我在網站上刷卡一直失敗，我的卡號是[account_number]，到期日是[private_date]，能不能幫我查一下是什麼問題？
a_account_number_003,account_number,1,助教你好，我是財金系大三的[private_person]，我的學號是[account_number]，想請問期中考請假的話，補考時間是哪一天？,助教你好，我是財金系大三的[private_person]，我的學號是[account_number]，想請問期中考請假的話，補考時間是哪一天？,助教你好，我是財金系大三的[private_person]，我的學號是[account_number]，想請問期中考請假的話，補考時間是哪一天？,助教你好，我是財金系大三的[private_person]，我的學號是[account_number]，想請問期中考請假的話，補考時間是哪一天？
a_account_number_004,account_number,1,IT部門您好，我是行銷部的[private_person]，員工編號[account_number]，我忘記了ERP系統的登入密碼，再麻煩協助重置。,IT部門您好，我是行銷部的 [private_person]，員工編號 [account_number]，我忘記了ERP系統的登入密碼，再麻煩協助重置。,IT部門您好，我是行銷部的[private_person]，員工編號[account_number]，我忘記了ERP系統的登入密碼，再麻煩協助重置。,IT部門您好，我是行銷部的[private_person]，員工編號[account_number]，我忘記了ERP系統的登入密碼，再麻煩協助重置。
a_account_number_005,account_number,1,理賠專員您好，我要申請上週車禍的醫療理賠，我的保單號碼是[account_number]，相關的診斷證明跟收據已經寄到您的信箱了。,理賠專員您好，我要申請上週車禍的醫療理賠，我的保單號碼是[account_number]，相關的診斷證明跟收據已經寄到您的信箱了。,理賠專員您好，我要申請上週車禍的醫療理賠，我的保單號碼是[account_number]，相關的診斷證明跟收據已經寄到您的信箱了。,理賠專員您好，我要申請上週車禍的醫療理賠，我的保單號碼是[account_number]，相關的診斷證明跟收據已經寄到您的信箱了。
a_account_number_006,account_number,1,你好，退款的部分請幫我匯到中國信託，代碼822，帳號是[account_number]，戶名是[private_person]，謝謝。,你好，退款的部分請幫我匯到中國信託，代碼822，帳號是[account_number]，戶名是[private_person]，謝謝。,你好，退款的部分請幫我匯到中國信託，代碼822，帳號是[account_number]，戶名是[private_person]，謝謝。,你好，退款的部分請幫我匯到中國信託，代碼822，帳號是[account_number]，戶名是[private_person]，謝謝。
a_account_number_007,account_number,1,警察先生，我剛剛收到一筆刷卡通知但我根本沒消費，我的富邦信用卡號[account_number]好像被盜刷了，背面的末三碼是[secret]。,警察先生，我剛剛收到一筆刷卡通知但我根本沒消費，我的富邦信用卡號[account_number]好像被盜刷了，背面的末三碼是[secret]。,警察先生，我剛剛收到一筆刷卡通知但我根本沒消費，我的富邦信用卡號[account_number]好像被盜刷了，背面的末三碼是[secret]。,警察先生，我剛剛收到一筆刷卡通知但我根本沒消費，我的富邦信用卡號[account_number]好像被盜刷了，背面的末三碼是[secret]。
a_account_number_008,account_number,1,圖書館櫃檯您好，我昨天借的書好像沒刷到條碼，我是歷史系的[private_person]，學號[account_number]，可以幫我確認一下借閱紀錄嗎？,圖書館櫃檯您好，我昨天借的書好像沒刷到條碼，我是歷史系的[private_person]，學號[account_number]，可以幫我確認一下借閱紀錄嗎？,圖書館櫃檯您好，我昨天借的書好像沒刷到條碼，我是歷史系的[private_person]，學號[account_number]，可以幫我確認一下借閱紀錄嗎？,圖書館櫃檯您好，我昨天借的書好像沒刷到條碼，我是歷史系的[private_person]，學號[account_number]，可以幫我確認一下借閱紀錄嗎？
a_account_number_009,account_number,0,人事室您好，我要申請[private_date]的特別休假，我是業務三課的[private_person]，工號是[account_number]，假單已經送出去了。,人事室您好，我要申請下週三的特別休假，我是業務三課的[private_person]，工號是[account_number]，假單已經送出去了。,人事室您好，我要申請[private_date]的特別休假，我是業務三課的[private_person]，工號是[account_number]，假單已經送出去了。,人事室您好，我要申請下週三的特別休假，我是業務三課的[private_person]，工號是[account_number]，假單已經送出去了。
a_account_number_010,account_number,1,您好，因為我搬家了，想要更改保單的通訊地址，我的南山人壽保單號碼是[account_number]，新地址是[private_address]。,您好，因為我搬家了，想要更改保單的通訊地址，我的南山人壽保單號碼是[account_number]，新地址是[private_address]。,您好，因為我搬家了，想要更改保單的通訊地址，我的南山人壽保單號碼是[account_number]，新地址是[private_address]。,您好，因為我搬家了，想要更改保單的通訊地址，我的南山人壽保單號碼是[account_number]，新地址是[private_address]。
